metric_id,period,actual_value,target_value,variance_pct,status,last_updated,data_quality_flag
FIN002,Q3 2024,1.95,1.94,,On Track,2026-01-28,Valid
FIN002,Q4 2024,1.99,2.0,-0.47,On Track,2026-01-28,Valid
MKT001,Q4 2023,660.75,722.5,,Off Track,2026-01-28,Valid
MKT001,Q1 2024,713.94,756.5,,Off Track,2026-01-28,Needs Review
MKT001,Q2 2024,774.65,790.5,,At Risk,2026-01-28,Valid
MKT001,Q3 2024,806.84,824.5,,At Risk,2026-01-28,Valid
MKT001,Q4 2024,857.23,850.0,0.85,On Track,2026-01-28,Needs Review
MKT002,Q4 2023,3.23,3.82,,Off Track,2026-01-28,Valid
MKT002,Q1 2024,3.63,4.0,,Off Track,2026-01-28,Valid
MKT002,Q2 2024,3.91,4.18,,At Risk,2026-01-28,Needs Review
MKT002,Q3 2024,4.22,4.36,,At Risk,2026-01-28,Needs Review
MKT002,Q4 2024,4.39,4.5,-2.37,On Track,2026-01-28,Valid
DATA001,Q4 2023,78.85,78.2,,At Risk,2026-01-28,Needs Review
DATA001,Q1 2024,84.95,81.88,,At Risk,2026-01-28,Valid
DATA001,Q2 2024,88.11,85.56,,On Track,2026-01-28,Valid
DATA001,Q3 2024,94.43,89.24,,On Track,2026-01-28,Needs Review
DATA001,Q4 2024,90.65,92.0,-1.47,On Track,2026-01-28,Needs Review
DATA002,Q4 2023,95.77,83.72,,On Track,2026-01-28,Valid
DATA002,Q1 2024,96.03,87.66,,On Track,2026-01-28,Valid
DATA002,Q2 2024,94.73,91.6,,On Track,2026-01-28,Valid
DATA002,Q3 2024,100.04,95.54,,On Track,2026-01-28,Valid
DATA002,Q4 2024,99.68,98.5,1.19,On Track,2026-01-28,Needs Review
